Case_ID,PolicyOutcome,PolicyRule,HazardConcepts,ConditionConcepts,InformationState
HB-001,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-002,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-003,ACT+ESCALATE,P03_CRITICAL_HAZARD,WATER_ELECTRICAL_CONTACT,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-004,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-005,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-006,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-007,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-008,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-009,ACT+ESCALATE,P03S_PRIMARY_ENTRANCE_SECURITY_EXPOSURE,SECURITY_EXPOSURE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-010,AWAITING,P06_NONSAFETY_SILENCE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,NO_RESPONSE_AFTER_ASK
HB-011,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-012,ASK,P07_NEEDS_CLARIFICATION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,NEEDS_CLARIFICATION
HB-013,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-014,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-015,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-016,ESCALATE,P10_REPLACEMENT_UPGRADE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|REPLACEMENT_OR_UPGRADE,SUFFICIENT
