run,showcase,case_id,expected_outcome,expected_rule,observed_outcome,observed_rule,pass,latency_ms,HazardConcepts,ConditionConcepts,InformationState,Predicted_Safety,Predicted_Urgency,Predicted_PrimaryTrade,RepeatAssessment,FailSafeType,error
1,Routine repair,HARDEN-SHOWCASE-ROUTINE-R01-2ed1fe18dd7a4729be4093616b346cc5,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,13486.9,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
1,Needs a detail,HARDEN-SHOWCASE-ASK-R01-6a8c63e1d08a41889cbc17ba4629c708,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,13824.7,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
1,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R01-a294cb2f5a3a468aa929053da0c66b33,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,13502.5,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
1,Critical hazard,HARDEN-SHOWCASE-GAS-R01-fa07f7813944464eaf23943246757708,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,12458.4,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
2,Routine repair,HARDEN-SHOWCASE-ROUTINE-R02-f1993a0722114ce1b4a66f29329575f1,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,15249.0,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
2,Needs a detail,HARDEN-SHOWCASE-ASK-R02-4f914e079ef744c9a71ccd4bcd297ce4,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,13809.5,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
2,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R02-2079453de91b4e2ca4d38dbd8c734f92,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,14283.7,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
2,Critical hazard,HARDEN-SHOWCASE-GAS-R02-bdb3bf006d9b4e8dba9e508626905932,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,12588.2,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
3,Routine repair,HARDEN-SHOWCASE-ROUTINE-R03-bc4acb8f72f0401384d6cd0e8c7974c2,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,13222.1,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""MOISTURE_PRESENT""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
3,Needs a detail,HARDEN-SHOWCASE-ASK-R03-089a464d16e9400fbd899a75d264aa92,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,13004.0,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
3,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R03-07f21528effa4c9ca493d1cf17fe6b3b,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,16719.6,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
3,Critical hazard,HARDEN-SHOWCASE-GAS-R03-7a006917bbef45e9bf9f5f74ce56a5dc,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,13343.5,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
4,Routine repair,HARDEN-SHOWCASE-ROUTINE-R04-407ad3414380431aaf37203649bf419b,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,12503.3,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
4,Needs a detail,HARDEN-SHOWCASE-ASK-R04-581453ee83524cbf8fbf1c0eaa4cf18f,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,12612.1,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
